pollutant,sensor_id,rows,missing_rows,missing_pct,longest_missing_run_hours,irregular_time_steps,time_start,time_end,interp_recommendation
NO2,S10,8616,7,0.08124419684308264,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
NO2,S11,8616,187,2.170380687093779,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
NO2,S12,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
NO2,S13,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
NO2,S14,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
NO2,S16,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
NO2,S19,8616,73,0.8472609099350046,67,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
NO2,S20,8616,170,1.9730733519034354,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
NO2,S5,8616,4,0.04642525533890436,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
NO2,S7,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S10,8616,7,0.08124419684308264,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S11,8616,172,1.9962859795728878,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
O3,S12,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S13,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S14,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S16,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S19,8616,73,0.8472609099350046,67,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
O3,S2,8616,837,9.71448467966574,833,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
O3,S20,8616,170,1.9730733519034354,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
O3,S5,8616,4,0.04642525533890436,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S7,8616,5,0.05803156917363045,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
O3,S9,8616,73,0.8472609099350046,67,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM10,S10,8616,13,0.1508820798514392,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
PM10,S11,8616,206,2.3909006499535748,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM10,S12,8616,21,0.24373259052924792,7,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM10,S13,8616,26,0.3017641597028784,6,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,conditional_short_gap_interp
PM10,S14,8616,30,0.34818941504178275,8,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM10,S19,8616,86,0.9981429897864439,67,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM10,S20,8616,186,2.1587743732590527,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM10,S5,8616,9,0.10445682451253482,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
PM10,S7,8616,10,0.1160631383472609,4,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,safe_short_gap_interp
PM10,S9,8616,107,1.2418755803156918,67,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S10,8616,20,0.2321262766945218,6,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,conditional_short_gap_interp
PM2_5,S11,8616,223,2.588207985143918,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S12,8616,34,0.39461467038068704,8,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S13,8616,35,0.4062209842154132,8,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S14,8616,40,0.4642525533890436,8,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S19,8616,97,1.1258124419684308,67,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S2,8616,34,0.39461467038068704,8,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S20,8616,201,2.3328690807799446,165,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S5,8616,28,0.32497678737233054,7,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S7,8616,17,0.19730733519034352,7,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
PM2_5,S9,8616,125,1.4507892293407614,67,2,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,avoid_interp_for_main_demo
