scheme,pollutant,sensor_id,segment_id,mse,correlation,recovered_snr_db,channel_snr_db,carrier_hz,fs_hz,num_samples,kf,ber,samples_per_bit,num_bits
AM,NO2,S10,2,0.0189215891756434,0.9280282827992238,11.027235061771478,20.0,0.1,1.0,5375.0,,,,
FM,NO2,S10,2,0.5882232127364961,0.0207375620752309,-3.898610437868709,20.0,0.1,1.0,5375.0,0.05,,,
ASK,NO2,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,NO2,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,NO2,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,NO2,S12,2,0.0198147592349339,0.9305328195304022,10.902528890619845,20.0,0.1,1.0,5375.0,,,,
FM,NO2,S12,2,0.5910539251246976,-0.0360552326751509,-3.843854170396665,20.0,0.1,1.0,5375.0,0.05,,,
ASK,NO2,S12,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,NO2,S12,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,NO2,S12,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,NO2,S14,2,0.0305272201790837,0.9245013498433544,8.75069254684698,20.0,0.1,1.0,5375.0,,,,
FM,NO2,S14,2,0.5545452321777781,0.0327388829355223,-3.8418046195029,20.0,0.1,1.0,5375.0,0.05,,,
ASK,NO2,S14,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,NO2,S14,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,NO2,S14,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,NO2,S5,2,0.0228535472830836,0.9285247155824198,10.318403542739386,20.0,0.1,1.0,5375.0,,,,
FM,NO2,S5,2,0.6062607048023723,-0.013617079054162,-3.918654458012543,20.0,0.1,1.0,5375.0,0.05,,,
ASK,NO2,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,NO2,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,NO2,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,O3,S10,2,0.004174319407867,0.9797172164784784,20.875790357351264,20.0,0.1,1.0,5375.0,,,,
FM,O3,S10,2,0.8439701360537086,-0.0085346648957373,-2.181623665551664,20.0,0.1,1.0,5375.0,0.05,,,
ASK,O3,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,O3,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,O3,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,O3,S12,2,0.0042482678717839,0.9789746540221418,20.83165612739225,20.0,0.1,1.0,5375.0,,,,
FM,O3,S12,2,0.7915305313308277,-0.0136238898761487,-1.8709016552223043,20.0,0.1,1.0,5375.0,0.05,,,
ASK,O3,S12,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,O3,S12,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,O3,S12,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,O3,S14,2,0.0051380694163311,0.978846866484234,20.132685969622976,20.0,0.1,1.0,5375.0,,,,
FM,O3,S14,2,0.8638076961020513,-0.002076236193912,-2.123485047427494,20.0,0.1,1.0,5375.0,0.05,,,
ASK,O3,S14,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,O3,S14,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,O3,S14,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,O3,S5,2,0.0057759397510222,0.9793320215473972,19.61284515383804,20.0,0.1,1.0,5375.0,,,,
FM,O3,S5,2,0.8579227948668132,0.0054981136566729,-2.105410372801813,20.0,0.1,1.0,5375.0,0.05,,,
ASK,O3,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,O3,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,O3,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,PM10,S10,2,0.0123428354747867,0.9874978362117126,14.987856138851964,20.0,0.1,1.0,5375.0,,,,
FM,PM10,S10,2,0.7277725343549577,-0.0026041731814071,-2.717951076396788,20.0,0.1,1.0,5375.0,0.05,,,
ASK,PM10,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,PM10,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,PM10,S10,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,PM10,S5,2,0.0057676946265686,0.9837329657178928,16.128690243102575,20.0,0.1,1.0,5375.0,,,,
FM,PM10,S5,2,0.586033416530989,0.0040151930244424,-3.9405109817144015,20.0,0.1,1.0,5375.0,0.05,,,
ASK,PM10,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
FSK,PM10,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
PSK,PM10,S5,2,,,,15.0,,,,,0.0,20.0,1024.0
AM,PM2_5,S10,3,0.0102171365462176,0.9896622877219232,15.626647475119048,20.0,0.1,1.0,5375.0,,,,
FM,PM2_5,S10,3,0.6856603392655369,-0.0117202195620749,-2.641150842129093,20.0,0.1,1.0,5375.0,0.05,,,
ASK,PM2_5,S10,3,,,,15.0,,,,,0.0,20.0,1024.0
FSK,PM2_5,S10,3,,,,15.0,,,,,0.0,20.0,1024.0
PSK,PM2_5,S10,3,,,,15.0,,,,,0.0,20.0,1024.0
